,,,Display,Display,Direct,Direct,Paid Search,Paid Search,Organic Search,Organic Search,Referral,Referral,Social,Social,(Other),(Other),Email,Email
,ga:users,ga:bounceRate,ga:users,ga:bounceRate,ga:users,ga:bounceRate,ga:users,ga:bounceRate,ga:users,ga:bounceRate,ga:users,ga:bounceRate,ga:users,ga:bounceRate,ga:users,ga:bounceRate,ga:users,ga:bounceRate
ga:yearMonth,,,,,,,,,,,,,,,,,,
202104,224.0,39.1820580474934,0.0,0.0,193.0,37.480559875583204,0.0,0.0,19.0,49.473684210526315,3.0,36.36363636363637,9.0,55.55555555555556,0.0,0.0,0.0,0.0
202105,414.0,47.82608695652174,0.0,0.0,300.0,53.857791225416044,0.0,0.0,32.0,38.11881188118812,27.0,26.08695652173913,43.0,59.154929577464785,12.0,53.125,0.0,0.0
202106,451.0,46.755277560594216,0.0,0.0,300.0,54.76973684210527,7.0,57.14285714285714,66.0,36.0,30.0,37.39495798319328,35.0,57.14285714285714,13.0,36.95652173913043,0.0,0.0
202107,1393.0,63.126252505010015,305.0,89.34010152284264,326.0,53.28671328671328,529.0,78.8135593220339,137.0,41.86046511627907,38.0,38.88888888888889,47.0,52.56410256410257,11.0,40.42553191489361,0.0,0.0
202108,2266.0,74.5398773006135,1022.0,92.34449760765551,406.0,54.81927710843374,515.0,87.09175738724728,224.0,50.332594235033255,54.0,42.37918215613383,30.0,53.125,15.0,71.875,0.0,0.0
202109,2771.0,75.49435028248588,1117.0,89.3476959904249,457.0,64.91525423728814,658.0,86.42857142857143,462.0,59.10878112712975,45.0,35.815602836879435,26.0,50.649350649350644,6.0,56.00000000000001,0.0,0.0
202110,2059.0,70.99850968703427,566.0,89.45969884853852,469.0,46.69887278582931,363.0,78.09330628803245,587.0,67.58938869665513,37.0,36.84210526315789,14.0,45.23809523809524,21.0,74.46808510638297,2.0,25.0
202111,2041.0,74.35344827586206,792.0,87.16279069767442,393.0,52.352941176470594,288.0,62.126865671641795,424.0,67.98107255520505,41.0,47.4025974025974,61.0,72.91666666666666,16.0,76.92307692307693,26.0,52.85714285714286
202112,3420.0,79.69417275106764,1915.0,86.05132450331125,464.0,54.11061285500748,531.0,78.94131185270426,372.0,66.61514683153014,40.0,48.148148148148145,36.0,62.295081967213115,57.0,83.5820895522388,5.0,33.33333333333333
202201,1383.0,80.63256540413902,763.0,86.0233918128655,190.0,65.56016597510373,161.0,71.24463519313305,210.0,72.02797202797203,23.0,40.54054054054054,26.0,90.9090909090909,10.0,90.0,0.0,0.0
